date,vendor,status,ongoing_incidents,incidents_30d,downtime_30d_min,entry_eur,plan_prices,fingerprints,videos_30d,last_video
2026-08-12,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-12,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,3,What is Shop? | Shopping designed around you
2026-08-12,Squarespace,none,0,1,87.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify: The Difference in Support
2026-08-12,Wix,none,0,4,270.5,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-12,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-13,BigCommerce,none,0,5,1737.8,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-13,CloudCart,none,0,2,6.7,,,,0,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-13,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-13,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-13,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,2,What is Shop? | Shopping designed around you
2026-08-13,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace vs Shopify: What's Included vs What's an Add-On
2026-08-13,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-13,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-14,BigCommerce,none,0,6,1767.9,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-14,CloudCart,none,0,0,6.4,,,,0,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-14,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-14,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-14,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,2,What is Shop? | Shopping designed around you
2026-08-14,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,How to Switch from Shopify to Squarespace
2026-08-14,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-14,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-15,BigCommerce,none,0,6,1395.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,,
2026-08-15,CloudCart,none,0,0,6.4,,,,,
2026-08-15,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,,
2026-08-15,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,,
2026-08-15,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,,
2026-08-15,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,,
2026-08-15,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,,
2026-08-15,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,,
2026-08-16,BigCommerce,none,0,4,903.3,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-16,CloudCart,none,0,0,6.4,,,,0,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-16,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-16,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-16,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,20,2,What is Shop? | Shopping designed around you
2026-08-16,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Webflow Was Built for Developers. Squarespace Was Built for Everyone
2026-08-16,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-16,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-17,BigCommerce,none,0,4,903.3,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,15,"Platform Hunger Games: Open Platforms, Open Opinions"
2026-08-17,CloudCart,none,0,0,6.4,,,,0,"Аз, в опит да си направя магазина сам...  #Cloudcart  #onlinestores #comedy #онл"
2026-08-17,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-08-17,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-08-17,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-08-17,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Webflow Was Built for Developers. Squarespace Was Built for Everyone
2026-08-17,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,2,Turn your idea into an online business | Wix eCommerce
2026-08-17,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-08-18,BigCommerce,none,0,4,903.3,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,,
2026-08-18,CloudCart,none,0,0,6.4,,,,,
2026-08-18,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,,
2026-08-18,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,,
2026-08-18,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,,
2026-08-18,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,,
2026-08-18,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,,
2026-08-18,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,,
2026-08-19,BigCommerce,none,0,4,903.3,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,,
2026-08-19,CloudCart,none,0,0,6.4,,,,,
2026-08-19,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,,
2026-08-19,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,,
2026-08-19,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,,
2026-08-19,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,,
2026-08-19,Wix,none,0,5,295.8,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,,
2026-08-19,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,,
2026-08-20,BigCommerce,none,0,4,903.3,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,,
2026-08-20,CloudCart,none,0,0,6.4,,,,,
2026-08-20,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,,
2026-08-20,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,,
2026-08-20,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,,
2026-08-20,Squarespace,none,0,2,103.7,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,,
2026-08-20,Wix,none,0,6,341.9,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,,
2026-08-20,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,,
